consolidated_symptom,umls,regex,entities
itchy throat,throat irritation,(d(iscomfort in ((his|my) throat|th(e th)?roat|your throat)|ry itchy throat)|hurting (my )?throats?|i(rritation in (her throat|my throats?|th(e(ir)? throat|roat)|your throat)|tch( (in (h(er|is) throat|my throat|th(e(ir|y)? throat|roat)|your throat)|on (my throat|th(e(ir|y)? throat|e throat|roat)|your throat))|y sore throats?))|s(cratch( (my )?throats?|ing ((his|my) throat|throats?)|y (- sore throat|/ sore throats?|or sore throat|sore throats?))|ore( (/ (mostly )?itchy throat|my throats?|or itchy throat|throats?)|st throat)|tuffy (- )?throat)|t(hroat( (- (ache|scratchy)|. (. . so sore|i(s sore|tch))|? (ach|sor)e|a(ches?|gony|l(l (itchy|s(cratchy|ore))|ready sore)|ll scratchy|re (itchy|sore))|b(e( (all sore|itch(ing|y)|s(cratching|ore))|en (itch(ing|y)|s(cratchy|o( so)?re|uper sore))|ing (itchy|s((cratching|cratchy)|o( (itchy|sore)|( so)?re)|(uper s)?ore)))|urn(ing|s)?)|feel( (itchy|sore)|s (. . . . itchy|a(gony|l(l (i(nflamed|tchy)|s(cratchy|ore))|ready sore))|(being sore|getting itchy)|h(ella (inflamed|sore)|urty)|i(nflamed|tch(ing|y))|itchy|literally so( so)?re|mostly sore|quite s(cratchy|ore)|r(eally (itchy|s(cratchy|ore))|ly sore)|really sore|s(cratch(ing|y(yy)?)?|o( (i(nflamed|tchy)(yyy)?|itchy|s(cratchy|o( so)?re)|sore)|re(eeeee)?)|uper itchy|uper s(cratchy|ore))?|the most sore|very (i(nflamed|tchy)|s(cratchy|ore))|very sore))|g(et( i(rritated|tchy)|s (all itchy|i(rritated|tchy)|so irritated)|ting i(rritated|tchy))|ot i(rritated|tchy))|h(a(d been (really sore|so( so)?re)|s been (all scratchy|itch(ing|y)|really (itchy|sore)|s(cratchy|o( (itchy|sore)|re)|uper (i|scra)tchy)|very sore))|(ella sore|urty))|i(nflamed|rritations?|s (. . . . itchy|a(gony|l(l (i(nflamed|tchy)|s(cratchy|ore))|ready sore))|(being sore|getting itchy)|h(ella (inflamed|sore)|urty)|i(nflamed|tch(ing|y))|literally so( so)?re|mostly sore|quite s(cratchy|ore)|r(eally (itchy|s(cratchy|ore))|ly sore)|s(cratch(ing|y(yy)?)?|o( (i(nflamed|tchy)(yyy)?|s(cratchy|o( so)?re))|re(eeeee)?)|uper s(cratchy|ore))?|the most sore|very (i(nflamed|tchy)|s(cratchy|ore)))|s sore|t(ch(ed|in(ess|g)|ys?)?|s itchy)|tchy?)|literally burns|really (itched|sore)|s(cratch(es|ing|y)?|cratchy|o( (itchy|s(cratchy|ore)?)| sore|re(ness|s)?)|uper sore)|(ulcers|very sore)|w(as (a(gony|l(l s(cratchy|ore)|ready so( so)?re))|(getting itchy|hella sore)|i(nflamed|tch(ing|y))|likely sore|really (really )?sore|s(cratchy|o( (inflamed|s(cratchy|ore))|re)|uper s(cratchy|ore))|very sore)|ere sore))|s (a(ll scratchy|re (itchy|sore))|be(en s(cratch(ing|y)|o( so)?re)|ing really sore)|feels (itchy|sore)|getting irritated|i((rritation|s sore)|tchy?)|r(eal)?ly sore|s(cratchy|o( so)?re)|were (itchy|really sore)))|i(cklish throat|ngling in ((his|my) throat|th(e th)?roat)))|viral throat infection),throat feels itchy|throat was already so sore|discomfort in his throat|sorest throat|throats getting irritated|throat itch|throat is scratchyyy|throat has been itching|throat has been scratchy|throats been sore|throat was so inflamed|throat being so sore|throat is mostly sore|throat get irritated|throat hella sore|throat was itching|throat inflamed|throat scratching|throat - scratchy|throat so sore|throat all itchy|throat was sore|throats been scratching|throats are sore|throat literally burns|throat burning|throat be scratching|throat was very sore|scratchy sore throat|throat is itching|throats being really sore|itch on the throat|throat is getting itchy|throat been so sore|throat has been super scratchy|itch in her throat|throat hurty|throat is so so sore|tingling in my throat|scratchy - sore throat|throat is all sore|irritation in throat|throat feels so itchy|throat soreness|tingling in the throat|throat be itching|scratchy sore throats|discomfort in my throat|throats sore|throats really sore|scratch my throat|throats rly sore|throats feels sore|throat is hella sore|throat was already sore|throat - ache|throat all scratchy|throat was really really sore|throat being so itchy|throat has been really sore|scratching his throat|throat irritation|throat was really sore|throat has been really itchy|throat . itch|throat is super scratchy|throat was inflamed|throat was so sore|sore / itchy throat|throats all scratchy|irritation in your throat|throat so scratchy|throat was scratchy|throat was all sore|throats is sore|throat be sore|throat sores|throat feels super itchy|throat all sore|throat has been super itchy|throat agony|throat gets so irritated|throat gets itchy|throat been itching|throat was super sore|throat very sore|throat is inflamed|throat is super sore|throat ulcers|throat gets irritated|throat ? sore|throat scratchy|itchy sore throats|throat is literally so sore|throats irritation|throat has been itchy|throat aches|throat is so inflamed|tingling in his throat|throat is hella inflamed|throat is scratching|hurting throats|throats itchy|scratchy or sore throat|throat been itchy|irritation in her throat|throat is very itchy|throat itchy|throat has been all scratchy|throat gets all itchy|itch in your throat|throat sore|scratching throats|throat really itched|throat is hurty|scratchy / sore throats|throat is all inflamed|ticklish throat|stuffy - throat|sore or itchy throat|throat was super scratchy|throat is all scratchy|throat super sore|throat already sore|throat has been sore|throat was so scratchy|irritation in the throat|throat got irritated|scratching my throat|throat has been so itchy|throat is scratch|throat was hella sore|sore / mostly itchy throat|throat scratches|throat feels really sore|throat itching|throat is soreeeeee|throat is very sore|throat is really sore|throat ache|throat scratch|itch on my throat|itch on throat|throat its itchy|throat is really scratchy|throat so itchy|throat was likely sore|irritation in my throat|throat is very scratchy|discomfort in throat|scratchy / sore throat|throat feels so sore|discomfort in your throat|throat is the most sore|throat . . . so sore|throats been scratchy|stuffy throat|throats were itchy|throat is so itchy|throats feels itchy|throat feels very sore|throat being itchy|throat is scratchy|throat is rly sore|throat is really itchy|hurting throat|throat be itchy|throats itch|throat getting irritated|throat being scratchy|throats are itchy|scratch throat|itch in my throat|throat is itchy|throat has been so sore|throat got itchy|throat has been very sore|throat had been so sore|throat been super sore|throat burns|throat is very inflamed|throat itchiness|throat itched|throat really sore|itch in his throat|throat be all sore|throat is quite sore|irritation in my throats|itchy sore throat|throats so sore|itch in they throat|throat feel sore|throat is agony|throat is quite scratchy|throat burn|throats scratchy|tingling in throat|throat were sore|throat is already sore|throat irritations|throat is sore|throat getting itchy|irritation in their throat|throats were really sore|dry itchy throat|throat been scratchy|hurting my throat|itch in throat|itch in the throat|throat being sore|throat is so itchyyyy|throat itchys|throat was agony|throat feels sore|throat . is sore|throat is so scratchy|throat is literally sore|scratching throat|throat was itchy|throat was getting itchy|throat was all scratchy|throats been so sore|viral throat infection|throat get itchy|throat been sore|itch in their throat|throat is so sore|discomfort in the throat|throat had been sore|throat is . . . . itchy|throat is being sore|throat is all itchy|throat ? ache|throat had been really sore|itch on your throat|throat feel itchy
jaundice,jaundice,(obstructive )?jaundice,obstructive jaundice|jaundice
jaw pain,clenching teeth,(c(hattering teeth|lench(ed (my )?teeth|ing teeth))|teeth (- )?clenching),chattering teeth|teeth - clenching|clenching teeth|clenched my teeth|clenched teeth|teeth clenching
joint pain,ankle pain,(ankle (pain|soreness)|pain in (his|my|the|your) ankle|sprain( (my |their |your )?ankle|ed (ankles?|h(er|is) ankle|(my|their|your) ankle))),sprained ankle|pain in the ankle|sprain your ankle|sprained ankles|sprained their ankle|ankle soreness|pain in his ankle|sprained his ankle|sprained your ankle|ankle pain|sprain my ankle|sprain ankle|sprained my ankle|pain in your ankle|pain in my ankle|sprain their ankle|sprained her ankle
joint pain,hip pain,(arthritic hip|b(ack and hip pain|roken (- )?hip)|hip (been hurting|h(as been hurting|er hips?|i(s hi)?ps?|urt(ing|s)?)|is (really )?hurting|(pain|really hurts)|was hurt(ing)?)|pain in (h(er hips?|i(s hi)?ps?)|my hips?|the(ir)? hips?)|sore hips),hip pain|hip hurts|hip been hurting|pain in hips|pain in my hip|hip is hurting|pain in their hip|pain in my hips|pain in hip|hip hurt|broken hip|hip was hurting|arthritic hip|hip is really hurting|back and hip pain|pain in his hip|hip really hurts|sore hips|pain in her hips|pain in the hip|hip hurting|broken - hip|pain in the hips|pain in his hips|hip was hurt|hip has been hurting|pain in her hip
joint pain,joint pain,"(a(ches in (all (my )?joints|(her |my )?joints)|rthr(algias|itic ("" |( joint ) )?pain))|b(ack and joint pain|ody (and )?joint pain)|joint( ((- muscle pain|. aches)|ach(es|ing)( / pains)?|(is aching|muscle pain|pain))|s (a(ch(es|ing)|re (aching|in (so much )?pain))|be( aching|en aching|ing in pain)|(have been aching|in pain|muscle pain)|were (aching|in pain)))|pain( in every joint|ful joints?|s in (all (her|my|the) joints|h(er joints|is joint)s?|(my |the |your )?joints))|sore joints?)","joints being in pain|back and joint pain|pain in every joint|aches in joints|joints muscle pain|joints in pain|joint . aches|pains in my joints|body joint pain|joints were aching|arthritic pain|pains in your joints|joints are in pain|joint is aching|joint aches|painful joint|aches in my joints|joints were in pain|painful joints|joints have been aching|arthritic "" pain|arthritic ( joint ) pain|joints been aching|body and joint pain|joints aching|arthralgias|pains in the joints|joints are aching|pains in joints|pains in all the joints|sore joints|joints are in so much pain|pains in his joint|sore joint|joint aching|joints be aching|aches in all my joints|joint aches / pains|pains in her joints|aches in all joints|aches in her joints|joint pain|joint - muscle pain|pains in his joints|pains in all her joints|joint muscle pain|joints aches|pains in all my joints"
joint pain,knee pain,"(chronic knee pain|joint pain in (his |my |the )?knees|knee ("" injury|- (in )?pain|. pain|damaged?|i(n( pain|jur(ies|y))|s (in (so much )?pain|pain))|pains?|(very|“) pain)|pain( in (h(er|is) knees?|(my )?knees?|the(ir)? knees?|your knee)|ful knees))","pain in his knee|chronic knee pain|painful knees|knee damaged|pain in his knees|pain in their knees|knee injuries|knee injury|pain in knees|joint pain in his knees|knee “ pain|pain in the knees|pain in knee|knee damage|knee in pain|pain in my knee|knee is in so much pain|pain in my knees|knee . pain|pain in the knee|knee pain|knee pains|joint pain in knees|joint pain in my knees|pain in their knee|pain in her knee|knee "" injury|knee is in pain|joint pain in the knees|pain in your knee|knee very pain|knee - in pain|knee is pain|knee - pain|pain in her knees"
joint pain,neck pain,"(back (/|or) neck pain|neck( (- (ache|back pain|pain)|(/ shoulder pain|ache)|b(ack pai|roke)n|i(njuries|s (broke|literally broke|so pai)n)|or shoulder pain|pains?|was broken)|ache)|pain ("" in my neck|- in - the (- )?neck|in (h(er|is) neck|(my )?neck|the( (. . :astonished_face: :astonished_face: . . . in the )?neck|ir neck)|your neck)|(the in|was in his) neck))","pain in the neck|back or neck pain|pain - in - the - neck|pain in neck|back / neck pain|neck - back pain|neck is literally broken|neck - pain|neckache|neck was broken|pain the in neck|pain was in his neck|neck / shoulder pain|neck or shoulder pain|neck is so pain|neck pains|neck broken|pain in their neck|neck - ache|pain in her neck|neck injuries|pain in your neck|pain in the . . :astonished_face: :astonished_face: . . . in the neck|neck pain|neck back pain|pain "" in my neck|pain - in - the neck|neck is broken|pain in my neck|neck ache|pain in his neck"
joint pain,pain in left knee,(left knee is bad|pain in left knee),left knee is bad|pain in left knee
joint pain,pain in right knee,(pain in right knee|right knee soreness|sore right knee),sore right knee|right knee soreness|pain in right knee
joint pain,pain of left ankle joint,(left ankle soreness|pain of left ankle joint),pain of left ankle joint|left ankle soreness
joint pain,shoulder pain,"(broken (r )?shoulder|fractured (her |my )?shoulder|hurt( (h(er|is) shoulder|(my )?shoulder)|(ing|s) my shoulder)|injured (my )?shoulder|pain( in (h(er|is) shoulders?|(my |the |your )?shoulders?)|ful shoulder)|s(houlder( ("" (injury|pain)|/ arm pain|aches?|be(en hurting|ing hurt)|h(as been hurting|urt(ing|s)?)|i(njur(ies|y)|s (going to hurt|hurt(ing)?|really hurting))|(pain|really hurt)s?|was hurt(ing)?)|s ((ar|b)e hurting|hurt(ing|s)?|is hurting|really hurts?|were hurting))|ore( shoulder|ness in (her |my |the |your )?shoulder)))","shoulder hurts|pain in his shoulder|shoulder is hurting|hurt her shoulder|soreness in the shoulder|broken r shoulder|fractured my shoulder|shoulder has been hurting|shoulder was hurting|shoulder is hurt|shoulder is really hurting|shoulder injury|shoulder injuries|hurt my shoulder|hurting my shoulder|soreness in my shoulder|pain in shoulder|pain in your shoulders|shoulder ache|shoulder "" injury|painful shoulder|pain in his shoulders|shoulder hurting|fractured her shoulder|shoulder pain|fractured shoulder|shoulder really hurt|shoulder really hurts|shoulder being hurt|pain in her shoulder|pain in my shoulder|shoulders be hurting|shoulders hurts|soreness in your shoulder|shoulder been hurting|shoulder / arm pain|pain in the shoulder|shoulders hurt|pain in my shoulders|injured shoulder|shoulders are hurting|soreness in shoulder|hurt shoulder|shoulders really hurt|pain in the shoulders|shoulder hurt|shoulders were hurting|hurts my shoulder|shoulder pains|sore shoulder|hurt his shoulder|pain in shoulders|broken shoulder|shoulder "" pain|shoulder was hurt|shoulder aches|shoulders hurting|soreness in her shoulder|pain in your shoulder|shoulders is hurting|shoulder is going to hurt|shoulders really hurts|injured my shoulder"
joint stiffness,joint stiffness,(joint stiffness|stiff joint)s?,stiff joints|joint stiffness|stiff joint
